"descripcion_normalizada","insumo_id","aprobado","decision","evidencia","clasificacion_analitica"
"OREO","","False","revisar","Pendiente de homologación por descripción.","GALLETAS"
"PALO PARA BROCHETA","palo_para_brocheta","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"PANERA 16CM","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"PAPEL ENCERADO","papel_encerado","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"PAPEL ESTRELLA PLIEGO","papel_estrella_pliego","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"PAPEL PELICULA 150M META FILM","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"PAPEL QUILON PARA HORNEAR","papel_quilon_para_hornear","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"PAQUETE PALITOS PARA PALETAS","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"PARA 12 CUPCAKES","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"PASA GRANDE CHILENA","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"PASTEL ALTO","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"PASTIREAL MANGA NO. 12","mangas","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"PEAJE","","True","excluir","Usuario: excluir categorías CASETAS. No eliminar registros originales.","CASETAS"
"PEGAMENTO DE FONDANT","pegamento_fondant","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","DECORACION"
"PEGAMENTO PARA FONDANT 30 ML","pegamento_fondant","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","DECORACION"
"PEGATINAS, MOLDES, REJILLA, DUYA","","True","excluir","Usuario: duyas se clasifican como herramientas y se excluyen.","HERRAMIENTA"
"PELICULA 150","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"PERLA COLORES","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"PERLA NEON Y CONFETI MA BAKER","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"PERLA PLATEADA","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"PERLA","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"PERLAS Y GRANILLO DIAMANTADO MA B","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"PERLAS","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"PERLITAS","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"PHILADELPHIA QSO","queso_philadelphia","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","QUESO CREMA"
"PHILLY QSO","queso_philadelphia","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","QUESO CREMA | RELLENO"
"PINCEL","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"PINCELES","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"PINZAS","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"PIPETILLAS, BALANZA ELECTRONICA, TEMPORIZADOR, MOLDE DE PRENSA","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"PLATANITOS","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"PLATO RIGIDO NEGRO RE","plato_rigido_negro_re","True","incluir","Usuario: corregir ambas apariciones a EMPAQUE e incluirlas; aplica también al registro originalmente clasificado como OTROS.","EMPAQUE"
"PORTA","","True","excluir","Usuario: excluir categorías NO DEFINIDO. No eliminar registros originales.","NO DEFINIDO"
"PRO 2 PACK","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"PURATOS CHOCOLATE","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"PURATOS CREAMFIL CREME CHOCO","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"PURATOS FRUITFIL FRESA 1 KG","relleno_fresa_fruitfil_puratos","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","RELLENO"
"PURATOS FRUITFIL ZARZAMORA 1 KG","relleno_zarzamora_fruitfil_puratos","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","RELLENO"
"PURATOS SATIN","","False","revisar","Pendiente de homologación por descripción.","HARINA"
"PURATOS TRES LECHES VAINILLA","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"PURATOS TRES LECHES","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"PURATOS VAINILLA","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"QSOCREMAPHILADE 200G","queso_philadelphia","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","QUESO CREMA"
"QUESO CREMA SUELTO","","False","revisar","Pendiente de homologación por descripción.","QUESO CREMA"
"QUESO PHILADELPHIA 190G","queso_philadelphia","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","QUESO CREMA"
"QUESO PHILADELPHIA","queso_philadelphia","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","QUESO CREMA | RELLENO"
"RASPA","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"REBANADAS DE PINA EN ALMIBAR 800G","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"RED VELVET","","False","revisar","Pendiente de homologación por descripción.","HARINA"
"RELLENO COCO","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"RELLENO DE BAILEYS","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"RELLENO DURAZNO PURATOS","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"RELLENO FRESA FRUTIFIL PURATOS","relleno_fresa_fruitfil_puratos","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","RELLENO"
"RELLENO FRESA FRUTIFRU","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"RELLENO QUESO CREME P","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"RELLENO ZARZAMORA FRUITFILL PURAT","relleno_zarzamora_fruitfil_puratos","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","RELLENO"
"RELLENO ZARZAMORA PURATOS","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"REMOVEDOR 15","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"REMOVEDOR","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"REYMA TAPA N.10, 50 PZ","reyma_tapa_n_10_50_pz","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"REYMA VASO N.10 50 PZ","reyma_vaso_n_10_50_pz","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"RICH PINA COLADA","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"RK MALV","","False","revisar","Pendiente de homologación por descripción.","DULCERIA"
"RODILLO DE SILICON","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"ROLLO 45","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"ROYAL ICING DEIMAN 50","","False","revisar","Pendiente de homologación por descripción.","ROYALICING"
"ROYAL ICING DEIMAN 500G","royal_icing_deiman_500_g","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","ROYALICING"
"ROYAL ICING ENCO","royal_icing_enco","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","ROYALICING"
"ROYAL ICING","","False","revisar","Pendiente de homologación por descripción.","ROYALICING"
"RUTZ","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"SABOR RED VELVET","","False","revisar","Pendiente de homologación por descripción.","HARINA"
"SABORIZANT","","False","revisar","Pendiente de homologación por descripción.","SABORIZANTE"
"SABROSANO","","False","revisar","Pendiente de homologación por descripción.","ACEITE"
"SAN JUAN HVO","huevo_san_juan","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","HUEVO"
"SANTA CLAR","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"SICAO BLANCO REAL","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"SICAO BLANCO","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"SJUAN HVO","huevo_san_juan","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","HUEVO"
"SOPORTES","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"SOYARADIR","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"SPRINKLES","sprinkles","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","DECORACION"
"SRPINKLES","sprinkles","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","DECORACION"
"SUSPIRO","","False","revisar","Pendiente de homologación por descripción.","DULCERIA"
"TAPA REYMA C/50","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"TAPETE DE SILICON","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"TEGRAL SATIN CREME CA","","False","revisar","Pendiente de homologación por descripción.","HARINA"
"TEGRAL SATIN CREME CAKE CHOCOLATE","tegral_satin_chocolate","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","HARINA | CHOCOLATE"
"TEGRAL SATIN CREME CAKE PURATOS","","False","revisar","Pendiente de homologación por descripción.","HARINA"
"TEGRAL SATIN CREME CAKE VAINILLA","tegral_satin_vainilla","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","HARINA"
"TEGRAL SATIN RED VELET CAKE PURATOS","tegral_satin_red_velvet","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","HARINA"
"TEGRAL SATIN RED VELVET CAKE PURATOS","tegral_satin_red_velvet","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","HARINA | CHOCOLATE"
"TEGRAL SATIN RED VELVET PURATOS","tegral_satin_red_velvet","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","HARINA"
"TRANSFER HOJA DE ARROZ GRUESA","","False","revisar","Pendiente de homologación por descripción.","DECORACION | TRANSFER"
"TRANSFER","","False","revisar","Pendiente de homologación por descripción.","TRANSFER | DECORACION"
"TREGAL SATIN CREME CA","","False","revisar","Pendiente de homologación por descripción.","HARINA"
"TREGAL SATIN CREME CAKE CHOCOLATE","tegral_satin_chocolate","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","HARINA"
"TREGAL SATIN CREME CAKE VAINILLA","tegral_satin_vainilla","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","HARINA"
"TURIN AMARGO","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"TURIN CONEJOS MINI 120 GR","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"TURIN SEMI TROZO","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"TURIN SEMIAMARGO","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"TURIN TUBO BAILEYS 200 G","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"VAINILLA","vainilla","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","HORNEADO"
"VARIOS ARTICULOS (DOMO, BASES, CAKETOPPER, SPRINKLES)","compra_mixta_empaques_decoracion","True","incluir","Usuario: conservar 2000 MXN completos sin desglose; 80% en domos y bases es estimación contextual no verificable.","COMPRA MIXTA EMPAQUES Y DECORACION"
"VASO 4 ANCHO REYMA C/","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"VELA BABY YODA","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"VELA CHISPA","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"VELAS","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"VINIL BRILLANTE 140X50 CM","","True","excluir","Usuario: excluir categorías ADMINISTRACION. No eliminar registros originales.","ADMINISTRACION"
"WYBOROWA","","False","revisar","Pendiente de homologación por descripción.","LICORES"
"YAHEL PLATANO 500GR","","True","excluir","Usuario: excluir categorías NO DEFINIDO. No eliminar registros originales.","NO DEFINIDO"
"ZULKA AZUCAR GLASS 500 G","azucar_glass_zulka","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","AZUCAR"
"ZULKA GLASS","azucar_glass_zulka","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","AZUCAR"
